# WRITE_FORCE NAME ../data/ch4200_F_BFMSGS_BFMWM/force INTERVAL 100 BFZONE y0,y1; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
      3003100      403.206      157.914            0  4.02167e-12            0            0            0            0            0  -0.00131611            0     0.199918 -2.61933e-06 -4.28921e-05            0            0            0     0.199918  -0.00131872 -4.28921e-05
      3003200      403.219      157.914            0  4.02167e-12            0            0            0            0            0  -0.00138215            0     0.200047 -2.66193e-06 -4.39585e-05            0            0            0     0.200047  -0.00138481 -4.39585e-05
      3003300      403.232      157.914            0  4.02167e-12            0            0            0            0            0  0.000123717            0     0.200173 -2.61068e-06  -4.5024e-05            0            0            0     0.200173  0.000121106  -4.5024e-05
      3003400      403.246      157.914            0  4.02167e-12            0            0            0            0            0  -0.00342703            0       0.2003 -2.42259e-06  -4.5841e-05            0            0            0       0.2003  -0.00342945  -4.5841e-05
      3003500      403.259      157.914            0  4.02167e-12            0            0            0            0            0  0.000208333            0     0.200426 -2.05545e-06  -4.6807e-05            0            0            0     0.200426  0.000206278  -4.6807e-05
      3003600      403.273      157.914            0  4.02167e-12            0            0            0            0            0 -6.88105e-05            0     0.200547 -1.89602e-06 -4.76063e-05            0            0            0     0.200547 -7.07065e-05 -4.76063e-05
      3003700      403.286      157.914            0  4.02167e-12            0            0            0            0            0  -0.00310005            0     0.200662 -2.32177e-06 -4.83408e-05            0            0            0     0.200662  -0.00310237 -4.83408e-05
      3003800        403.3      157.914            0  4.02167e-12            0            0            0            0            0  0.000836736            0     0.200777 -3.02712e-06 -4.91984e-05            0            0            0     0.200777  0.000833709 -4.91984e-05
      3003900      403.313      157.914            0  4.02167e-12            0            0            0            0            0  -0.00133875            0     0.200898 -3.35588e-06 -4.98953e-05            0            0            0     0.200898  -0.00134211 -4.98953e-05
      3004000      403.326      157.914            0  4.02167e-12            0            0            0            0            0 -0.000501361            0     0.201019 -3.03477e-06 -5.06447e-05            0            0            0     0.201019 -0.000504396 -5.06447e-05
      3004100       403.34      157.914            0  4.02167e-12            0            0            0            0            0  -0.00162333            0     0.201133  -2.5888e-06 -5.16693e-05            0            0            0     0.201133  -0.00162592 -5.16693e-05
      3004200      403.353      157.914            0  4.02167e-12            0            0            0            0            0  0.000531936            0     0.201246 -2.22423e-06 -5.29929e-05            0            0            0     0.201246  0.000529712 -5.29929e-05
      3004300      403.367      157.914            0  4.02167e-12            0            0            0            0            0 -0.000439222            0      0.20136  -2.2352e-06 -5.39995e-05            0            0            0      0.20136 -0.000441457 -5.39995e-05
      3004400       403.38      157.914            0  4.02167e-12            0            0            0            0            0   0.00155245            0     0.201472 -2.30927e-06 -5.47356e-05            0            0            0     0.201472   0.00155014 -5.47356e-05
      3004500      403.393      157.914            0  4.02167e-12            0            0            0            0            0   0.00104076            0     0.201577 -2.28842e-06 -5.53634e-05            0            0            0     0.201577   0.00103847 -5.53634e-05
      3004600      403.407      157.914            0  4.02167e-12            0            0            0            0            0  -0.00275086            0      0.20168 -1.92693e-06 -5.60085e-05            0            0            0      0.20168  -0.00275278 -5.60085e-05
      3004700       403.42      157.914            0  4.02167e-12            0            0            0            0            0   0.00113297            0      0.20178 -1.89572e-06 -5.69557e-05            0            0            0      0.20178   0.00113107 -5.69557e-05
      3004800      403.434      157.914            0  4.02167e-12            0            0            0            0            0  0.000179803            0     0.201876 -1.91033e-06 -5.78988e-05            0            0            0     0.201876  0.000177893 -5.78988e-05
      3004900      403.447      157.914            0  4.02167e-12            0            0            0            0            0    0.0011815            0     0.201975 -2.11448e-06 -5.82919e-05            0            0            0     0.201975   0.00117938 -5.82919e-05
      3005000      403.461      157.914            0  4.02167e-12            0            0            0            0            0  0.000547589            0     0.202074 -2.25046e-06 -5.87877e-05            0            0            0     0.202074  0.000545339 -5.87877e-05
      3005100      403.474      157.914            0  4.02167e-12            0            0            0            0            0   0.00244223            0     0.202167 -2.08362e-06 -5.92786e-05            0            0            0     0.202167   0.00244015 -5.92786e-05
      3005200      403.487      157.914            0  4.02167e-12            0            0            0            0            0  -0.00128315            0     0.202259 -1.60443e-06 -5.93525e-05            0            0            0     0.202259  -0.00128475 -5.93525e-05
      3005300      403.501      157.914            0  4.02167e-12            0            0            0            0            0   0.00181319            0     0.202356 -1.45252e-06  -6.0129e-05            0            0            0     0.202356   0.00181174  -6.0129e-05
      3005400      403.514      157.914            0  4.02167e-12            0            0            0            0            0  -0.00459135            0     0.202453 -1.45651e-06 -6.07878e-05            0            0            0     0.202453   -0.0045928 -6.07878e-05
      3005500      403.528      157.914            0  4.02167e-12            0            0            0            0            0   0.00101753            0     0.202543 -1.70073e-06 -6.12108e-05            0            0            0     0.202543   0.00101583 -6.12108e-05
      3005600      403.541      157.914            0  4.02167e-12            0            0            0            0            0    0.0013773            0     0.202626 -1.83264e-06 -6.16066e-05            0            0            0     0.202626   0.00137547 -6.16066e-05
      3005700      403.555      157.914            0  4.02167e-12            0            0            0            0            0  -0.00296976            0     0.202711 -1.56286e-06 -6.20523e-05            0            0            0     0.202711  -0.00297132 -6.20523e-05
      3005800      403.568      157.914            0  4.02167e-12            0            0            0            0            0  0.000131219            0     0.202799 -1.39179e-06 -6.28945e-05            0            0            0     0.202799  0.000129827 -6.28945e-05
      3005900      403.581      157.914            0  4.02167e-12            0            0            0            0            0 -0.000416997            0     0.202891 -1.20025e-06 -6.37928e-05            0            0            0     0.202891 -0.000418197 -6.37928e-05
      3006000      403.595      157.914            0  4.02167e-12            0            0            0            0            0  -0.00207802            0     0.202976  -1.3394e-06  -6.4162e-05            0            0            0     0.202976  -0.00207936  -6.4162e-05
      3006100      403.608      157.914            0  4.02167e-12            0            0            0            0            0   0.00310662            0     0.203051 -1.55656e-06  -6.3982e-05            0            0            0     0.203051   0.00310506  -6.3982e-05
      3006200      403.622      157.914            0  4.02167e-12            0            0            0            0            0   0.00258265            0      0.20312 -1.57922e-06 -6.42778e-05            0            0            0      0.20312   0.00258107 -6.42778e-05
      3006300      403.635      157.914            0  4.02167e-12            0            0            0            0            0  -0.00168177            0     0.203199 -1.43826e-06 -6.46641e-05            0            0            0     0.203199  -0.00168321 -6.46641e-05
      3006400      403.649      157.914            0  4.02167e-12            0            0            0            0            0   0.00178316            0      0.20328 -1.25315e-06 -6.50991e-05            0            0            0      0.20328    0.0017819 -6.50991e-05
      3006500      403.662      157.914            0  4.02167e-12            0            0            0            0            0  0.000490539            0     0.203359 -9.94911e-07 -6.52419e-05            0            0            0     0.203359  0.000489544 -6.52419e-05
      3006600      403.675      157.914            0  4.02167e-12            0            0            0            0            0  -0.00339267            0     0.203434 -1.18078e-06 -6.52252e-05            0            0            0     0.203434  -0.00339385 -6.52252e-05
      3006700      403.689      157.914            0  4.02167e-12            0            0            0            0            0   0.00203169            0     0.203502 -1.29925e-06 -6.55449e-05            0            0            0     0.203502   0.00203039 -6.55449e-05
      3006800      403.702      157.914            0  4.02167e-12            0            0            0            0            0  0.000156684            0     0.203567 -1.23005e-06 -6.59032e-05            0            0            0     0.203567  0.000155454 -6.59032e-05
      3006900      403.716      157.914            0  4.02167e-12            0            0            0            0            0   -0.0033163            0     0.203644 -8.12865e-07 -6.61936e-05            0            0            0     0.203644  -0.00331711 -6.61936e-05
      3007000      403.729      157.914            0  4.02167e-12            0            0            0            0            0   0.00228869            0     0.203718 -5.98462e-07 -6.62022e-05            0            0            0     0.203718   0.00228809 -6.62022e-05
      3007100      403.743      157.914            0  4.02167e-12            0            0            0            0            0  0.000173108            0     0.203787 -8.48168e-07 -6.62995e-05            0            0            0     0.203787   0.00017226 -6.62995e-05
      3007200      403.756      157.914            0  4.02167e-12            0            0            0            0            0  -0.00220224            0     0.203851 -1.01727e-06 -6.67554e-05            0            0            0     0.203851  -0.00220326 -6.67554e-05
      3007300      403.769      157.914            0  4.02167e-12            0            0            0            0            0  0.000827365            0     0.203914 -9.24437e-07 -6.68853e-05            0            0            0     0.203914  0.000826441 -6.68853e-05
      3007400      403.783      157.914            0  4.02167e-12            0            0            0            0            0  0.000643889            0     0.203977 -8.99891e-07 -6.63583e-05            0            0            0     0.203977  0.000642989 -6.63583e-05
      3007500      403.796      157.914            0  4.02167e-12            0            0            0            0            0  -0.00351592            0     0.204045  -7.4927e-07 -6.62336e-05            0            0            0     0.204045  -0.00351667 -6.62336e-05
      3007600       403.81      157.914            0  4.02167e-12            0            0            0            0            0    0.0015056            0     0.204111  -6.5924e-07 -6.62481e-05            0            0            0     0.204111   0.00150494 -6.62481e-05
      3007700      403.823      157.914            0  4.02167e-12            0            0            0            0            0   0.00264865            0      0.20417  -9.1192e-07 -6.66736e-05            0            0            0      0.20417   0.00264773 -6.66736e-05
      3007800      403.836      157.914            0  4.02167e-12            0            0            0            0            0 -0.000924592            0     0.204227 -1.04763e-06 -6.71246e-05            0            0            0     0.204227 -0.000925639 -6.71246e-05
      3007900       403.85      157.914            0  4.02167e-12            0            0            0            0            0   0.00296143            0     0.204286 -1.28178e-06 -6.72042e-05            0            0            0     0.204286   0.00296015 -6.72042e-05
      3008000      403.863      157.914            0  4.02167e-12            0            0            0            0            0   0.00107866            0     0.204348 -1.46288e-06 -6.69247e-05            0            0            0     0.204348    0.0010772 -6.69247e-05
      3008100      403.877      157.914            0  4.02167e-12            0            0            0            0            0   0.00027268            0     0.204406 -1.16941e-06 -6.68176e-05            0            0            0     0.204406  0.000271511 -6.68176e-05
      3008200       403.89      157.914            0  4.02167e-12            0            0            0            0            0   0.00215732            0     0.204462 -9.72824e-07 -6.70199e-05            0            0            0     0.204462   0.00215635 -6.70199e-05
      3008300      403.904      157.914            0  4.02167e-12            0            0            0            0            0   0.00352516            0     0.204514 -9.79747e-07 -6.72651e-05            0            0            0     0.204514   0.00352418 -6.72651e-05
      3008400      403.917      157.914            0  4.02167e-12            0            0            0            0            0  -0.00069352            0     0.204566 -1.25357e-06 -6.77378e-05            0            0            0     0.204566 -0.000694774 -6.77378e-05
      3008500       403.93      157.914            0  4.02167e-12            0            0            0            0            0   0.00186164            0     0.204621 -1.46934e-06 -6.79101e-05            0            0            0     0.204621   0.00186018 -6.79101e-05
      3008600      403.944      157.914            0  4.02167e-12            0            0            0            0            0  6.94769e-05            0     0.204678 -1.27173e-06 -6.78188e-05            0            0            0     0.204678  6.82052e-05 -6.78188e-05
      3008700      403.957      157.914            0  4.02167e-12            0            0            0            0            0 -0.000377991            0     0.204733 -7.30641e-07 -6.76281e-05            0            0            0     0.204733 -0.000378722 -6.76281e-05
      3008800      403.971      157.914            0  4.02167e-12            0            0            0            0            0 -0.000483585            0     0.204782 -1.95687e-07 -6.73565e-05            0            0            0     0.204782  -0.00048378 -6.73565e-05
      3008900      403.984      157.914            0  4.02167e-12            0            0            0            0            0 -6.27897e-06            0     0.204834 -1.27312e-07 -6.73421e-05            0            0            0     0.204834 -6.40628e-06 -6.73421e-05
      3009000      403.998      157.914            0  4.02167e-12            0            0            0            0            0  -0.00311243            0     0.204886 -2.48811e-07 -6.75742e-05            0            0            0     0.204886  -0.00311268 -6.75742e-05
      3009100      404.011      157.914            0  4.02167e-12            0            0            0            0            0 -0.000717113            0     0.204938 -2.01248e-07 -6.76971e-05            0            0            0     0.204938 -0.000717314 -6.76971e-05
      3009200      404.024      157.914            0  4.02167e-12            0            0            0            0            0 -0.000756962            0     0.204988 -3.06143e-07 -6.74225e-05            0            0            0     0.204988 -0.000757268 -6.74225e-05
      3009300      404.038      157.914            0  4.02167e-12            0            0            0            0            0   0.00339578            0     0.205035 -3.68792e-07 -6.71752e-05            0            0            0     0.205035   0.00339541 -6.71752e-05
      3009400      404.051      157.914            0  4.02167e-12            0            0            0            0            0  0.000486152            0     0.205081 -3.61846e-07 -6.69137e-05            0            0            0     0.205081   0.00048579 -6.69137e-05
      3009500      404.065      157.914            0  4.02167e-12            0            0            0            0            0  -0.00088437            0     0.205127 -7.61349e-07 -6.69942e-05            0            0            0     0.205127 -0.000885131 -6.69942e-05
      3009600      404.078      157.914            0  4.02167e-12            0            0            0            0            0  -0.00130149            0     0.205173 -9.38941e-07 -6.69874e-05            0            0            0     0.205173  -0.00130242 -6.69874e-05
      3009700      404.092      157.914            0  4.02167e-12            0            0            0            0            0   0.00149552            0      0.20522 -1.02694e-06 -6.66028e-05            0            0            0      0.20522   0.00149449 -6.66028e-05
      3009800      404.105      157.914            0  4.02167e-12            0            0            0            0            0 -0.000713508            0     0.205263  -1.1841e-06 -6.60526e-05            0            0            0     0.205263 -0.000714692 -6.60526e-05
      3009900      404.118      157.914            0  4.02167e-12            0            0            0            0            0  0.000127733            0     0.205303 -8.57303e-07  -6.5657e-05            0            0            0     0.205303  0.000126876  -6.5657e-05
      3010000      404.132      157.914            0  4.02167e-12            0            0            0            0            0   -0.0004175            0     0.205346 -7.90984e-07 -6.57157e-05            0            0            0     0.205346 -0.000418291 -6.57157e-05
      3010100      404.145      157.914            0  4.02167e-12            0            0            0            0            0   0.00221745            0      0.20539 -9.26731e-07 -6.59516e-05            0            0            0      0.20539   0.00221653 -6.59516e-05
      3010200      404.159      157.914            0  4.02167e-12            0            0            0            0            0   -0.0013115            0     0.205432 -8.51167e-07 -6.58435e-05            0            0            0     0.205432  -0.00131235 -6.58435e-05
      3010300      404.172      157.914            0  4.02167e-12            0            0            0            0            0  -0.00110721            0     0.205467 -7.57001e-07 -6.52127e-05            0            0            0     0.205467  -0.00110797 -6.52127e-05
      3010400      404.186      157.914            0  4.02167e-12            0            0            0            0            0  0.000575194            0     0.205504 -6.06542e-07 -6.49437e-05            0            0            0     0.205504  0.000574587 -6.49437e-05
      3010500      404.199      157.914            0  4.02167e-12            0            0            0            0            0 -0.000218689            0     0.205545 -5.96784e-07  -6.5482e-05            0            0            0     0.205545 -0.000219286  -6.5482e-05
      3010600      404.212      157.914            0  4.02167e-12            0            0            0            0            0   0.00117071            0     0.205587 -7.69664e-07 -6.58029e-05            0            0            0     0.205587   0.00116994 -6.58029e-05
      3010700      404.226      157.914            0  4.02167e-12            0            0            0            0            0   0.00125117            0     0.205628 -1.03668e-06  -6.5751e-05            0            0            0     0.205628   0.00125014  -6.5751e-05
      3010800      404.239      157.914            0  4.02167e-12            0            0            0            0            0   0.00247606            0     0.205668 -9.29653e-07 -6.51515e-05            0            0            0     0.205668   0.00247513 -6.51515e-05
      3010900      404.253      157.914            0  4.02167e-12            0            0            0            0            0   0.00159389            0     0.205704 -9.33731e-07 -6.48347e-05            0            0            0     0.205704   0.00159296 -6.48347e-05
      3011000      404.266      157.914            0  4.02167e-12            0            0            0            0            0   0.00113375            0     0.205738 -1.02095e-06 -6.48422e-05            0            0            0     0.205738   0.00113272 -6.48422e-05
