# WRITE_FORCE NAME ../data/ch4200_F_eqwm/force INTERVAL 100 BFZONE y0,y1; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
      3003400      403.246      157.914            0  4.02167e-12            0            0            0            0            0  -0.00303086            0     0.217743  1.08261e-05 -8.02536e-05            0            0            0     0.217743  -0.00302004 -8.02536e-05
      3003500      403.259      157.914            0  4.02167e-12            0            0            0            0            0  0.000979609            0     0.217737  1.08716e-05 -8.08717e-05            0            0            0     0.217737   0.00099048 -8.08717e-05
      3003600      403.273      157.914            0  4.02167e-12            0            0            0            0            0  -0.00166919            0     0.217731  1.09041e-05 -8.14678e-05            0            0            0     0.217731  -0.00165829 -8.14678e-05
      3003700      403.286      157.914            0  4.02167e-12            0            0            0            0            0  0.000562003            0     0.217725  1.08927e-05 -8.20444e-05            0            0            0     0.217725  0.000572896 -8.20444e-05
      3003800        403.3      157.914            0  4.02167e-12            0            0            0            0            0  0.000166367            0      0.21772  1.08886e-05 -8.26042e-05            0            0            0      0.21772  0.000177256 -8.26042e-05
      3003900      403.313      157.914            0  4.02167e-12            0            0            0            0            0   -0.0016459            0     0.217714  1.08688e-05 -8.31534e-05            0            0            0     0.217714  -0.00163504 -8.31534e-05
      3004000      403.326      157.914            0  4.02167e-12            0            0            0            0            0  -0.00273773            0     0.217708  1.09085e-05 -8.36954e-05            0            0            0     0.217708  -0.00272682 -8.36954e-05
      3004100       403.34      157.914            0  4.02167e-12            0            0            0            0            0   0.00231129            0     0.217702  1.09424e-05 -8.42327e-05            0            0            0     0.217702   0.00232223 -8.42327e-05
      3004200      403.353      157.914            0  4.02167e-12            0            0            0            0            0  -0.00228246            0     0.217697  1.09476e-05 -8.47708e-05            0            0            0     0.217697  -0.00227151 -8.47708e-05
      3004300      403.367      157.914            0  4.02167e-12            0            0            0            0            0  -0.00104621            0     0.217691   1.1038e-05 -8.53056e-05            0            0            0     0.217691  -0.00103517 -8.53056e-05
      3004400       403.38      157.914            0  4.02167e-12            0            0            0            0            0   0.00262365            0     0.217685  1.11761e-05 -8.58377e-05            0            0            0     0.217685   0.00263482 -8.58377e-05
      3004500      403.393      157.914            0  4.02167e-12            0            0            0            0            0 -0.000814214            0     0.217679  1.13756e-05 -8.63642e-05            0            0            0     0.217679 -0.000802839 -8.63642e-05
      3004600      403.407      157.914            0  4.02167e-12            0            0            0            0            0  -0.00152011            0     0.217674  1.15924e-05 -8.68823e-05            0            0            0     0.217674  -0.00150851 -8.68823e-05
      3004700       403.42      157.914            0  4.02167e-12            0            0            0            0            0   0.00154525            0     0.217668  1.18037e-05 -8.73876e-05            0            0            0     0.217668   0.00155705 -8.73876e-05
      3004800      403.434      157.914            0  4.02167e-12            0            0            0            0            0 -0.000764801            0     0.217662      1.2e-05  -8.7877e-05            0            0            0     0.217662 -0.000752801  -8.7877e-05
      3004900      403.447      157.914            0  4.02167e-12            0            0            0            0            0  0.000896031            0     0.217656  1.22008e-05 -8.83453e-05            0            0            0     0.217656  0.000908232 -8.83453e-05
      3005000      403.461      157.914            0  4.02167e-12            0            0            0            0            0 -1.81263e-05            0      0.21765  1.24029e-05 -8.87917e-05            0            0            0      0.21765 -5.72334e-06 -8.87917e-05
      3005100      403.474      157.914            0  4.02167e-12            0            0            0            0            0 -0.000250415            0     0.217644  1.25497e-05 -8.92138e-05            0            0            0     0.217644 -0.000237865 -8.92138e-05
      3005200      403.487      157.914            0  4.02167e-12            0            0            0            0            0   0.00128048            0     0.217638  1.26802e-05 -8.96122e-05            0            0            0     0.217638   0.00129316 -8.96122e-05
      3005300      403.501      157.914            0  4.02167e-12            0            0            0            0            0    0.0029461            0     0.217632  1.27853e-05  -8.9983e-05            0            0            0     0.217632   0.00295889  -8.9983e-05
      3005400      403.514      157.914            0  4.02167e-12            0            0            0            0            0  -0.00309298            0     0.217626  1.28529e-05 -9.03309e-05            0            0            0     0.217626  -0.00308013 -9.03309e-05
      3005500      403.528      157.914            0  4.02167e-12            0            0            0            0            0  0.000820373            0      0.21762  1.29319e-05  -9.0652e-05            0            0            0      0.21762  0.000833305  -9.0652e-05
      3005600      403.541      157.914            0  4.02167e-12            0            0            0            0            0   0.00107393            0     0.217614  1.28994e-05 -9.09472e-05            0            0            0     0.217614   0.00108683 -9.09472e-05
      3005700      403.555      157.914            0  4.02167e-12            0            0            0            0            0  0.000629992            0     0.217608  1.28701e-05 -9.12184e-05            0            0            0     0.217608  0.000642862 -9.12184e-05
      3005800      403.568      157.914            0  4.02167e-12            0            0            0            0            0  -0.00126796            0     0.217602  1.28587e-05 -9.14661e-05            0            0            0     0.217602   -0.0012551 -9.14661e-05
      3005900      403.581      157.914            0  4.02167e-12            0            0            0            0            0   0.00222376            0     0.217596  1.28511e-05 -9.16916e-05            0            0            0     0.217596   0.00223661 -9.16916e-05
      3006000      403.595      157.914            0  4.02167e-12            0            0            0            0            0   0.00107638            0      0.21759  1.28908e-05 -9.18923e-05            0            0            0      0.21759   0.00108927 -9.18923e-05
      3006100      403.608      157.914            0  4.02167e-12            0            0            0            0            0  -0.00243333            0     0.217583  1.29185e-05 -9.20719e-05            0            0            0     0.217583  -0.00242041 -9.20719e-05
      3006200      403.622      157.914            0  4.02167e-12            0            0            0            0            0   0.00106616            0     0.217577  1.29746e-05 -9.22247e-05            0            0            0     0.217577   0.00107913 -9.22247e-05
      3006300      403.635      157.914            0  4.02167e-12            0            0            0            0            0   0.00178884            0     0.217571  1.30725e-05 -9.23592e-05            0            0            0     0.217571   0.00180192 -9.23592e-05
      3006400      403.649      157.914            0  4.02167e-12            0            0            0            0            0  -0.00208461            0     0.217565   1.3174e-05   -9.247e-05            0            0            0     0.217565  -0.00207143   -9.247e-05
      3006500      403.662      157.914            0  4.02167e-12            0            0            0            0            0 -0.000255723            0     0.217558  1.32914e-05 -9.25608e-05            0            0            0     0.217558 -0.000242431 -9.25608e-05
      3006600      403.675      157.914            0  4.02167e-12            0            0            0            0            0  -0.00326916            0     0.217552   1.3467e-05 -9.26328e-05            0            0            0     0.217552   -0.0032557 -9.26328e-05
      3006700      403.689      157.914            0  4.02167e-12            0            0            0            0            0  -0.00241272            0     0.217545  1.36564e-05 -9.26894e-05            0            0            0     0.217545  -0.00239906 -9.26894e-05
      3006800      403.702      157.914            0  4.02167e-12            0            0            0            0            0  0.000703652            0     0.217539  1.38136e-05 -9.27285e-05            0            0            0     0.217539  0.000717466 -9.27285e-05
      3006900      403.716      157.914            0  4.02167e-12            0            0            0            0            0  -0.00258321            0     0.217533  1.39546e-05 -9.27531e-05            0            0            0     0.217533  -0.00256926 -9.27531e-05
      3007000      403.729      157.914            0  4.02167e-12            0            0            0            0            0  -0.00413985            0     0.217526   1.4052e-05 -9.27598e-05            0            0            0     0.217526   -0.0041258 -9.27598e-05
      3007100      403.742      157.914            0  4.02167e-12            0            0            0            0            0   0.00237101            0     0.217519  1.41746e-05 -9.27511e-05            0            0            0     0.217519   0.00238518 -9.27511e-05
      3007200      403.756      157.914            0  4.02167e-12            0            0            0            0            0  -0.00183817            0     0.217512  1.42161e-05 -9.27248e-05            0            0            0     0.217512  -0.00182395 -9.27248e-05
      3007300      403.769      157.914            0  4.02167e-12            0            0            0            0            0  -0.00315253            0     0.217505  1.42688e-05 -9.26753e-05            0            0            0     0.217505  -0.00313826 -9.26753e-05
      3007400      403.783      157.914            0  4.02167e-12            0            0            0            0            0   0.00137317            0     0.217499   1.4295e-05 -9.26057e-05            0            0            0     0.217499   0.00138747 -9.26057e-05
      3007500      403.796      157.914            0  4.02167e-12            0            0            0            0            0  -0.00196526            0     0.217492  1.42478e-05 -9.25107e-05            0            0            0     0.217492  -0.00195101 -9.25107e-05
      3007600       403.81      157.914            0  4.02167e-12            0            0            0            0            0  -0.00220118            0     0.217485  1.42603e-05 -9.23941e-05            0            0            0     0.217485  -0.00218692 -9.23941e-05
      3007700      403.823      157.914            0  4.02167e-12            0            0            0            0            0  0.000620925            0     0.217478  1.41972e-05 -9.22532e-05            0            0            0     0.217478  0.000635123 -9.22532e-05
      3007800      403.836      157.914            0  4.02167e-12            0            0            0            0            0   0.00219935            0     0.217471  1.41462e-05  -9.2095e-05            0            0            0     0.217471   0.00221349  -9.2095e-05
      3007900       403.85      157.914            0  4.02167e-12            0            0            0            0            0  -0.00179757            0     0.217464  1.41095e-05 -9.19158e-05            0            0            0     0.217464  -0.00178346 -9.19158e-05
      3008000      403.863      157.914            0  4.02167e-12            0            0            0            0            0  -0.00335424            0     0.217456  1.41462e-05 -9.17242e-05            0            0            0     0.217456  -0.00334009 -9.17242e-05
      3008100      403.877      157.914            0  4.02167e-12            0            0            0            0            0 -0.000794751            0     0.217449  1.42304e-05  -9.1515e-05            0            0            0     0.217449  -0.00078052  -9.1515e-05
      3008200       403.89      157.914            0  4.02167e-12            0            0            0            0            0   0.00139956            0     0.217442  1.43071e-05 -9.12943e-05            0            0            0     0.217442   0.00141387 -9.12943e-05
      3008300      403.904      157.914            0  4.02167e-12            0            0            0            0            0  -0.00169128            0     0.217434  1.44295e-05 -9.10586e-05            0            0            0     0.217434  -0.00167685 -9.10586e-05
      3008400      403.917      157.914            0  4.02167e-12            0            0            0            0            0   0.00266334            0     0.217427  1.45391e-05  -9.0811e-05            0            0            0     0.217427   0.00267788  -9.0811e-05
      3008500       403.93      157.914            0  4.02167e-12            0            0            0            0            0 -0.000373114            0      0.21742  1.46446e-05 -9.05521e-05            0            0            0      0.21742 -0.000358469 -9.05521e-05
      3008600      403.944      157.914            0  4.02167e-12            0            0            0            0            0  -0.00109989            0     0.217412    1.479e-05 -9.02826e-05            0            0            0     0.217412   -0.0010851 -9.02826e-05
      3008700      403.957      157.914            0  4.02167e-12            0            0            0            0            0  0.000267057            0     0.217405  1.49391e-05 -9.00018e-05            0            0            0     0.217405  0.000281996 -9.00018e-05
      3008800      403.971      157.914            0  4.02167e-12            0            0            0            0            0 -0.000855099            0     0.217397  1.51167e-05 -8.97102e-05            0            0            0     0.217397 -0.000839982 -8.97102e-05
      3008900      403.984      157.914            0  4.02167e-12            0            0            0            0            0 -0.000393126            0      0.21739  1.52221e-05 -8.94073e-05            0            0            0      0.21739 -0.000377904 -8.94073e-05
      3009000      403.998      157.914            0  4.02167e-12            0            0            0            0            0 -0.000256479            0     0.217382  1.53301e-05 -8.90893e-05            0            0            0     0.217382 -0.000241148 -8.90893e-05
      3009100      404.011      157.914            0  4.02167e-12            0            0            0            0            0   0.00156099            0     0.217375  1.53939e-05 -8.87622e-05            0            0            0     0.217375   0.00157638 -8.87622e-05
      3009200      404.024      157.914            0  4.02167e-12            0            0            0            0            0   0.00108096            0     0.217367  1.54734e-05 -8.84256e-05            0            0            0     0.217367   0.00109644 -8.84256e-05
      3009300      404.038      157.914            0  4.02167e-12            0            0            0            0            0  0.000192458            0      0.21736   1.5476e-05 -8.80786e-05            0            0            0      0.21736  0.000207934 -8.80786e-05
      3009400      404.051      157.914            0  4.02167e-12            0            0            0            0            0   0.00043806            0     0.217352  1.54993e-05   -8.772e-05            0            0            0     0.217352  0.000453559   -8.772e-05
      3009500      404.065      157.914            0  4.02167e-12            0            0            0            0            0   -0.0011755            0     0.217345  1.55038e-05 -8.73503e-05            0            0            0     0.217345  -0.00115999 -8.73503e-05
      3009600      404.078      157.914            0  4.02167e-12            0            0            0            0            0 -2.30383e-05            0     0.217337   1.5497e-05 -8.69706e-05            0            0            0     0.217337 -7.54127e-06 -8.69706e-05
      3009700      404.092      157.914            0  4.02167e-12            0            0            0            0            0  -0.00138243            0      0.21733   1.5532e-05 -8.65837e-05            0            0            0      0.21733   -0.0013669 -8.65837e-05
      3009800      404.105      157.914            0  4.02167e-12            0            0            0            0            0 -0.000533165            0     0.217322  1.55165e-05 -8.61889e-05            0            0            0     0.217322 -0.000517649 -8.61889e-05
      3009900      404.118      157.914            0  4.02167e-12            0            0            0            0            0  -0.00156545            0     0.217315  1.55571e-05  -8.5787e-05            0            0            0     0.217315  -0.00154989  -8.5787e-05
      3010000      404.132      157.914            0  4.02167e-12            0            0            0            0            0  -0.00082954            0     0.217308  1.56016e-05 -8.53756e-05            0            0            0     0.217308 -0.000813938 -8.53756e-05
      3010100      404.145      157.914            0  4.02167e-12            0            0            0            0            0  -0.00192741            0       0.2173  1.56524e-05   -8.496e-05            0            0            0       0.2173  -0.00191176   -8.496e-05
      3010200      404.159      157.914            0  4.02167e-12            0            0            0            0            0 -0.000443583            0     0.217293  1.57028e-05 -8.45385e-05            0            0            0     0.217293  -0.00042788 -8.45385e-05
      3010300      404.172      157.914            0  4.02167e-12            0            0            0            0            0   0.00237743            0     0.217285  1.57632e-05 -8.41074e-05            0            0            0     0.217285   0.00239319 -8.41074e-05
      3010400      404.186      157.914            0  4.02167e-12            0            0            0            0            0 -0.000994632            0     0.217278  1.58476e-05 -8.36718e-05            0            0            0     0.217278 -0.000978785 -8.36718e-05
      3010500      404.199      157.914            0  4.02167e-12            0            0            0            0            0   0.00213593            0     0.217271  1.59186e-05 -8.32252e-05            0            0            0     0.217271   0.00215185 -8.32252e-05
      3010600      404.212      157.914            0  4.02167e-12            0            0            0            0            0   0.00159459            0     0.217263   1.6023e-05 -8.27709e-05            0            0            0     0.217263   0.00161062 -8.27709e-05
      3010700      404.226      157.914            0  4.02167e-12            0            0            0            0            0   0.00288314            0     0.217256  1.60917e-05 -8.23052e-05            0            0            0     0.217256   0.00289924 -8.23052e-05
      3010800      404.239      157.914            0  4.02167e-12            0            0            0            0            0  0.000671476            0     0.217249  1.61542e-05 -8.18332e-05            0            0            0     0.217249   0.00068763 -8.18332e-05
      3010900      404.253      157.914            0  4.02167e-12            0            0            0            0            0 -8.91814e-05            0     0.217241  1.62093e-05  -8.1354e-05            0            0            0     0.217241 -7.29721e-05  -8.1354e-05
